,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,mae_maxauc,,spearman_maxauc,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,mae_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,mae_minrmse,auc_minrmse,aupr_minrmse,spearman_minrmse
15,vali,8,0,0.8322194,0.335482327,0.780982366,0.597987894,0.551621578411053,"SignificanceResult(statistic=0.5516215784110539, pvalue=5.078403476480943e-307)",0,0.335482327,0.8322194,0.780982366,0.597987894,"SignificanceResult(statistic=0.5516215784110539, pvalue=5.078403476480943e-307)",2,0.766252011,0.582070996,0.821536687,0.324864127,"SignificanceResult(statistic=0.5596850419318288, pvalue=6.50886e-318)"
16,train,9,10,0.955214382,0.952165808,0.58461768,0.436991487,,"SignificanceResult(statistic=0.780670036759148, pvalue=0.0)",6,0.95238952,0.955085903,0.587907437,0.439517513,"SignificanceResult(statistic=0.778176475727922, pvalue=0.0)",11,0.584354948,0.436796515,0.955115042,0.952076658,"SignificanceResult(statistic=0.7808655258654613, pvalue=0.0)"
17,vali,9,10,0.787391713,0.281191883,0.725843247,0.553516942,0.514363750540258,"SignificanceResult(statistic=0.5143637505402584, pvalue=3.675845777742119e-254)",6,0.281387409,0.785941832,0.727150018,0.554208589,"SignificanceResult(statistic=0.5084861017454678, pvalue=1.7475099860231827e-247)",11,0.719786736,0.542092149,0.786820976,0.278686999,"SignificanceResult(statistic=0.5252888249770647, pvalue=6.318065436736457e-267)"
18,train,10,2,0.951477512,0.949332751,0.584323448,0.434715634,,"SignificanceResult(statistic=0.774734896218043, pvalue=0.0)",11,0.949467365,0.951738171,0.576291221,0.42766782,"SignificanceResult(statistic=0.7801633636997112, pvalue=0.0)",0,0.583799933,0.432584447,0.951209043,0.948826646,"SignificanceResult(statistic=0.7747546443493091, pvalue=0.0)"
19,vali,10,2,0.817329415,0.328426126,0.769683556,0.591034417,0.557489446156624,"SignificanceResult(statistic=0.5574894461566244, pvalue=0.0)",11,0.329163429,0.816687013,0.767901688,0.592694123,"SignificanceResult(statistic=0.5527259905685373, pvalue=0.0)",0,0.76223807,0.587848844,0.814836271,0.328044771,"SignificanceResult(statistic=0.5636975528244929, pvalue=0.0)"
,,,,0.820367712,0.302307898,0.786602227,0.596437989,,,,,,,,,,,,,,
,,,,0.024257502,0.029473554,0.065932289,0.060296591,,,,,,,,,,,,,,
,,,,,,,,0.52182102,,,,,,,,,,,,,
,,,,,,,,0.456445974,,,,,,,,,,,,,
,,,,,,,,0.561019239,,,,,,,,,,,,,
,,,,,,,,0.473660662,,,,,,,,,,,,,
,,,,,,,,0.596454919,,,,,,,,,,,,,
,,,,,,,,0.603128331,,,,,,,,,,,,,
,,,,,,,,0.603724673,,,,,,,,,,,,,
,,,,,,,,0.551621578,,,,,,,,,,,,,
,,,,,,,,0.514363751,,,,,,,,,,,,,
,,,,,,,,0.557489446,,,,,,,,,,,,,
,,,,,,,,0.543972959,,,,,,,,,,,,,
,,,,,,,,0.051991409,,,,,,,,,,,,,
