,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,,spearman_maxauc,,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,auc_minrmse,aupr_minrmse,spearman_minrmse
17,vali,9,10,0.787391713,0.281191883,0.725843247,0.514363750540258,"SignificanceResult(statistic=0.5143637505402584, pvalue=3.675845777742119e-254)",0.514363751,6,0.281387409,0.785941832,0.727150018,"SignificanceResult(statistic=0.5084861017454678, pvalue=1.7475099860231827e-247)",11,0.719786736,0.786820976,0.278686999,"SignificanceResult(statistic=0.5252888249770647, pvalue=6.318065436736457e-267)"
18,train,10,14,0.953217872,0.9504717,0.574305658,,"SignificanceResult(statistic=0.7810407990686974, pvalue=0.0)",,14,0.9504717,0.953217872,0.574305658,"SignificanceResult(statistic=0.7810407990686974, pvalue=0.0)",0,0.584149703,0.952746425,0.950371436,"SignificanceResult(statistic=0.7741490417796609, pvalue=0.0)"
19,vali,10,14,0.809162692,0.295127612,0.777192279,0.542687019453888,"SignificanceResult(statistic=0.542687019453888, pvalue=0.0)",0.542687019,14,0.295127612,0.809162692,0.777192279,"SignificanceResult(statistic=0.542687019453888, pvalue=0.0)",0,0.764932459,0.806104046,0.290843749,"SignificanceResult(statistic=0.562886575654507, pvalue=0.0)"
,行标签,平均值项:auc_max,平均值项:aupr_maxauc,平均值项:rmse_maxauc,平均值项:aupr_max,平均值项:auc_maxaupr,,平均值项:rmse_maxaupr,,平均值项:rmse_min,平均值项:auc_minrmse,平均值项:aupr_minrmse,,,,,,,
,vali,0.820134899,0.296030237,0.787320696,0.296935801,0.818916266,,0.78809469,,0.779891516,0.817689062,0.293778326,,,,,,,
,总计,0.820134899,0.296030237,0.787320696,0.296935801,0.818916266,,0.78809469,,0.779891516,0.817689062,0.293778326,,,,,,,
,,,,0.820134899,0.296030237,0.787320696,,,,,,,,,,,,,
,,,,0.001340021,0.001363346,0.005611713,,,0.500041989,,,,,,,,,,
,,,,,,,,,0.428797368,,,,,,,,,,
,,,,,,,,,0.561019239,,,,,,,,,,
,,,,,,,,,0.473660662,,,,,,,,,,
,,,,,,,,,0.588214066,,,,,,,,,,
,,,,,,,,,0.603128331,,,,,,,,,,
,,,,,,,,,0.603724673,,,,,,,,,,
,,,,,,,,,0.587259315,,,,,,,,,,
,,,,,,,,,0.514363751,,,,,,,,,,
,,,,,,,,,0.542687019,,,,,,,,,,
,,,,,,,,,0.540289641,,,,,,,,,,
,,,,,,,,,0.059696493,,,,,,,,,,
,,,,0.820134899,0.296030237,0.787320696,,,,,,,,,,,,,
,,,,0.024489152,0.029774648,0.070500529,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,0.500041989,,,,,,,,,,,,
,,,,,,,0.428797368,,,,,,,,,,,,
,,,,,,,0.561019239,,,,,,,,,,,,
,,,,,,,0.473660662,,,,,,,,,,,,
,,,,,,,0.588214066,,,,,,,,,,,,
,,,,,,,0.603128331,,,,,,,,,,,,
,,,,,,,0.603724673,,,,,,,,,,,,
,,,,,,,0.587259315,,,,,,,,,,,,
,,,,,,,0.514363751,,,,,,,,,,,,
,,,,,,,0.542687019,,,,,,,,,,,,
,,,,,,,0.540289641,,,,,,,,,,,,
,,,,,,,0.059696493,,,,,,,,,,,,
